vagtrafik,bantrafik,sjofart,luftfart,biobransle,vattenkraft,vindkraft,varmepumpar,solenergi,totalgron,totalenergi
107403,9816,697,3458,0,0,0,0,0,0,0
113524,17322,1912,13057,126,67,21,17,1,231,399
113501,16284,1807,13490,124,66,18,17,1,226,405
112053,15978,1833,13507,126,66,17,16,0,226,407
109547,15408,1677,12605,123,66,16,16,0,221,405
0,15150,1678,11878,119,67,14,14,0,214,396
0,0,0,0,114,65,11,14,0,204,389
0,0,0,0,114,68,9,14,0,205,401
0,0,0,0,117,69,7,14,0,207,411
0,0,0,0,109,69,5,14,0,197,407
0,0,0,0,117,68,3,11,0,200,425
0,0,0,0,107,68,3,11,0,189,394
0,0,0,0,104,67,2,10,0,183,409
0,0,0,0,103,69,1,9,0,182,415
0,0,0,0,98,68,1,8,0,175,411
0,0,0,0,92,68,1,7,0,168,413
